Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
198;5;trainbfg;tansig;softmax;tansig;25;30;0.016927293;1.420409127;0.999995282;1.984407546;0.999998398;3.244280581;0.998491867;0.009742969;0.398481884;0.999997769;1.946764454;0.999999148;2.271250355;0.998057001;0.014544765;0.942339155;0.999996687;2.190352634;0.999999019;3.349203971;0.998026725;3.589198524;0.99999424;1.695413798;0.999998798;3.179427381;0.99822275;0.875207272;1;2.821346568
179;5;trainbfg;tansig;softmax;tansig;10;25;0.062698393;2.9907799;0.999982207;2.482500652;0.999992448;4.223793177;0.99623746;0.060129595;1.502347265;0.999980039;1.89801756;0.999996066;4.350782572;0.99622581;0.035660178;1.201217663;0.999986724;3.131341791;0.999997913;3.74954672;0.996180319;3.321163261;0.999984763;2.394890249;0.99999511;4.642820761;0.995797624;0.829807055;1;3.45295809
196;4;trainbfg;tansig;softmax;tansig;25;20;0.058596446;1.319849015;0.999993225;2.127157579;0.999991384;5.054713822;0.995222129;0.043184511;2.97286797;0.999994048;2.151430286;0.999995837;5.510045793;0.994302302;0.022310263;3.16050215;0.999994423;2.37341215;0.999998248;3.366195043;0.996651034;2.973332243;0.999992904;1.976156069;0.999988619;6.069763322;0.992576087;0.872604373;1;3.673083878
190;2;trainbfg;tansig;softmax;tansig;20;20;0.057856478;2.667317221;0.999979812;3.654331284;0.999994325;4.783581709;0.99482829;0.048417057;2.060612137;0.999983674;3.177136686;0.999996933;6.953136993;0.996827458;0.053249091;2.298928189;0.999984711;2.939096899;0.999996729;7.027193842;0.995977169;4.312553596;0.999975556;3.149212927;0.999992639;4.812623424;0.99474735;0.875163356;1;4.091463316
191;3;trainbfg;tansig;softmax;tansig;20;25;0.083041789;3.075650957;0.99998191;2.513434222;0.999994449;7.635535853;0.98637599;0.077126331;8.313912529;0.999985528;2.05746529;0.999995485;6.696695265;0.986977422;0.07202731;1.711443179;0.999980172;2.903895002;0.999996079;8.316058002;0.980027098;5.309357565;0.999981756;2.387662396;0.999995438;7.503740927;0.984639357;0.872576879;1;5.066920296
23;4;trainbfg;poslin;softmax;tansig;20;25;0.107271629;2.931010405;0.999971861;3.019387746;0.999986054;5.714456893;0.992394242;0.137861658;3.884938429;0.999978525;3.136928451;0.99998759;6.763314147;0.993372848;0.098691201;13.39018747;0.999973147;2.921947389;0.999987603;4.736528212;0.992720302;5.943608033;0.999938783;2.893518876;0.999941931;6.370343559;0.991639047;0.808061005;1;5.069156822
357;1;trainbfg;logsig;softmax;tansig;20;15;0.059950349;4.896739807;0.999980931;2.480311654;0.999993667;3.72742056;0.997281146;0.039402226;5.123405514;0.999983289;2.26505393;0.999996926;3.679510334;0.997900581;0.045132801;6.921051632;0.999985607;2.604168289;0.999995858;4.129528209;0.997159371;9.210611485;0.999975568;2.228676809;0.999994948;4.228242603;0.996666419;0.87615517;1;5.222510299
360;2;trainbfg;logsig;softmax;tansig;20;30;0.111957249;4.750913476;0.999976342;3.574276996;0.999987784;5.870049864;0.988290498;0.098850474;1.542117168;0.999971496;3.798210955;0.999989616;5.603298013;0.981079935;0.082986296;8.711644171;0.999978718;4.120628854;0.999995698;6.758677628;0.991147843;5.671716899;0.999975388;3.430678033;0.99998724;6.790360412;0.985778024;0.843559935;1;5.297585115
197;4;trainbfg;tansig;softmax;tansig;25;25;0.119372691;4.114554964;0.999979711;4.784296396;0.99998308;6.313641348;0.993640661;0.11259172;1.557443497;0.999961316;6.946554307;0.999988863;4.384330811;0.99079468;0.05668306;1.47733872;0.999983447;5.358083187;0.999994009;5.502019499;0.995011585;5.33014021;0.99998042;4.671991612;0.999984307;5.955434826;0.993946513;0.840122099;1;5.319188883
354;1;trainbfg;logsig;softmax;tansig;15;30;0.06872866;2.588721228;0.999981869;2.654154628;0.9999953;7.645147845;0.989944667;0.062418903;0.710565888;0.99997876;2.173256156;0.999995124;5.057089377;0.988276571;0.108214649;1.933460888;0.999984079;3.088570106;0.999990181;6.44233664;0.990032457;5.658183423;0.999980125;2.626099925;0.999993368;7.803378106;0.986920951;0.855143226;1;5.362553818
358;5;trainbfg;logsig;softmax;tansig;20;20;0.113829864;3.641461498;0.999975065;5.930293777;0.999986415;6.012732774;0.990917853;0.103631963;0.845442485;0.99997977;5.697280825;0.999986975;5.997835487;0.990781474;0.144285784;2.36967977;0.999980257;6.668619345;0.999980598;7.009995652;0.99337186;3.643814363;0.99997808;5.559823857;0.999985679;6.977506001;0.990472698;0.889826737;1;5.39371474
