Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
252;1;trainbr;tansig;softmax;purelin;35;30;0.000185071;0.055322085;0.999999947;0.171583189;0.999999987;0.184997138;0.999970209;5.57554E-05;0.052127938;0.999999996;0.10533607;0.999999996;0.319871301;0.999989529;0.000101612;0.024239514;0.999999996;0.121779551;0.999999993;0.209123408;0.99997729;0.15715207;0.999999708;0.145408938;0.999999981;0.196514147;0.999971377;0.794857036;1;0.166358385
244;1;trainbr;tansig;softmax;purelin;30;20;0.000377635;0.038384535;0.999999904;0.214877822;0.999999982;0.311137308;0.999929732;7.09145E-05;0.04124315;0.999999989;0.1372794;0.999999995;0.146841108;0.999985193;0.00015047;0.107324381;0.999999986;0.166522396;0.99999999;0.251840202;0.99996269;0.039919517;0.999999421;0.179686096;0.999999981;0.28734298;0.999928137;0.751525131;1;0.168982864
247;5;trainbr;tansig;softmax;purelin;35;5;0.000257013;0.062292051;0.999999901;0.146894409;0.99999999;0.24591457;0.999965408;0.000205245;0.074383694;0.999999983;0.17854073;0.999999983;0.181381916;0.999950878;0.000313504;0.129628006;0.999999971;0.207830656;0.999999977;0.259173717;0.999930057;0.129407276;0.999999217;0.157604878;0.999999981;0.233968747;0.999950945;0.785742013;1;0.1736603
233;5;trainbr;tansig;softmax;purelin;20;25;0.000159552;0.034685137;0.999999962;0.169127065;0.999999989;0.171276615;0.999974223;6.66287E-05;0.021441369;0.999999995;0.151835192;0.999999994;0.130040761;0.999982899;9.07699E-05;0.018463018;0.999999997;0.199392531;0.999999993;0.157845223;0.999980059;0.219240216;0.999999791;0.162121205;0.999999987;0.175399246;0.999974329;0.803918891;1;0.185586889
240;1;trainbr;tansig;softmax;purelin;25;30;0.000130515;0.040177906;0.999999997;0.156293969;0.999999989;0.17162751;0.99996611;0.000156854;0.060504095;0.999999996;0.154099638;0.999999986;0.238789655;0.999969117;5.11011E-05;0.024729454;0.999999998;0.126702041;0.999999996;0.182182361;0.999989703;0.312073473;0.999999922;0.148287159;0.999999987;0.188333371;0.999961886;0.7906592;1;0.216231334
250;4;trainbr;tansig;softmax;purelin;35;20;6.79133E-05;0.025283384;0.999999998;0.093722727;0.999999994;0.141857707;0.999985711;2.77231E-05;0.0193013;0.999999993;0.070484174;0.999999998;0.085661571;0.999995244;0.000221414;0.015917307;0.999999996;0.209126693;0.999999974;0.145723329;0.999928466;0.458849821;0.999999959;0.112547745;0.99999999;0.119028483;0.99997464;0.744018562;1;0.230142016
251;5;trainbr;tansig;softmax;purelin;35;25;4.62036E-05;0.044843677;0.999999997;0.099154852;0.999999996;0.12826944;0.999988853;0.000239515;0.008879078;0.999999996;0.197699034;0.999999979;0.130443251;0.999943967;4.99791E-05;0.01071096;0.999999998;0.13174709;0.999999996;0.200427769;0.999988866;0.519164819;0.99999994;0.118728463;0.999999991;0.125072045;0.999977357;0.794208948;1;0.254321776
248;1;trainbr;tansig;softmax;purelin;35;10;0.000310492;0.102566623;0.999999858;0.148889705;0.999999992;0.247159888;0.999963131;0.001169073;0.072232718;0.99999904;0.100997845;0.999999982;0.193965166;0.999982819;0.001183308;0.055276465;0.999999475;0.29422651;0.999999971;0.363647593;0.999885105;0.381315343;0.999997176;0.157513306;0.999999978;0.248125109;0.999937159;0.784396025;1;0.262317919
249;4;trainbr;tansig;softmax;purelin;35;15;0.000122928;0.041514954;0.999999995;0.154808448;0.999999991;0.205642397;0.999968268;0.000158801;0.06958203;0.999999996;0.175083337;0.999999988;0.223420789;0.999958772;4.23879E-05;0.029408904;0.999999997;0.100094783;0.999999996;0.13855846;0.999991355;0.486630892;0.999999955;0.141626857;0.999999986;0.175454638;0.999964355;0.769862975;1;0.267904129
250;1;trainbr;tansig;softmax;purelin;35;20;8.27488E-05;0.035848042;0.999999995;0.102437236;0.999999996;0.134941284;0.999977703;4.68821E-05;0.016444116;0.999999998;0.066748551;0.999999997;0.129029507;0.999985854;0.000221044;0.032088904;0.999999989;0.093453461;0.999999973;0.224133516;0.999971867;0.534476696;0.999999936;0.104705968;0.999999983;0.171062217;0.999972012;0.774167108;1;0.270081627
