Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
339;1;traincgb;tansig;logsig;purelin;25;30;0.655322127;4.753983659;0.999773774;6.570299054;0.999939842;14.13687447;0.952070605;0.602745992;5.328626171;0.99983939;4.59531244;0.99994468;12.27026511;0.956471841;0.640630222;5.534251689;0.999763199;7.487128907;0.999949175;18.50868382;0.947685445;5.070578633;0.999689675;5.919705658;0.999916665;13.18669324;0.94880889;0.817746853;0.701545188;8.05899251
300;1;traincgb;tansig;tansig;purelin;35;30;0.300415259;4.16973302;0.999880549;2.99893479;0.999982652;13.85661704;0.966024703;0.274079386;4.194932512;0.999894784;2.883297106;0.999987339;17.41436129;0.973232642;0.278687424;4.151030632;0.999913755;2.915286996;0.999979793;12.39701577;0.976259875;6.873217845;0.999856427;2.704542102;0.999966719;15.10725289;0.967694978;0.860964459;0.755980456;8.228337613
343;4;traincgb;tansig;logsig;purelin;35;20;0.366770434;2.706492445;0.999889758;3.846883421;0.999974782;22.89357861;0.95441728;0.380926576;2.471727411;0.999893846;5.296866362;0.999968452;13.63148322;0.961549002;0.430243639;1.680514891;0.99986037;4.9984584;0.999967261;14.03129822;0.938809431;4.28671167;0.999856897;3.680139647;0.999954441;17.22578696;0.950052366;0.85799051;0.84095514;8.397546091
210;3;traincgb;tansig;softmax;purelin;35;30;0.345863104;4.28287318;0.999910084;7.06433443;0.999962476;17.07596465;0.965059703;0.280003937;5.265425519;0.999924956;5.765120079;0.999980774;21.52550783;0.971233423;0.381465982;5.529188048;0.99990559;7.218731496;0.999961029;14.43081705;0.96807766;5.580232728;0.999866771;5.766786957;0.999960638;14.9284666;0.959550147;0.802898326;1;8.758495428
345;1;traincgb;tansig;logsig;purelin;35;30;0.647825022;4.753355386;0.999810858;6.851938432;0.999930587;14.95490662;0.955895096;0.581491666;3.432266422;0.999854777;4.968060016;0.999915745;10.98769095;0.950560841;0.498840561;2.648128011;0.999911045;5.793298287;0.999956942;17.58178856;0.950914428;6.80313906;0.99973674;5.326350829;0.999877323;14.21741949;0.950208703;0.833151092;0.774667576;8.782303127
336;4;traincgb;tansig;logsig;purelin;20;30;0.426656168;3.846559416;0.999896944;5.219272589;0.999964498;22.02964173;0.941527068;0.399979519;4.336401041;0.999909863;6.447591836;0.999967652;19.18309472;0.949880608;0.383511072;4.057744393;0.9998912;5.198171964;0.99997374;15.00122967;0.92689708;5.199787823;0.999862915;5.244654239;0.999942046;17.84013189;0.935726626;0.859853353;0.787346875;9.428191316
162;5;traincgb;poslin;logsig;purelin;30;30;0.588516093;6.735700102;0.999846659;8.497796866;0.999938699;14.11658138;0.947324952;0.522091867;11.12779231;0.999851522;10.79200077;0.999950723;13.54838569;0.9400367;0.515018074;10.79680445;0.999880944;10.49304018;0.999952914;14.18224746;0.939418403;6.617297004;0.99978662;8.478747163;0.999929231;13.98360952;0.938122954;0.815275003;0.847820584;9.693217897
344;2;traincgb;tansig;logsig;purelin;35;25;0.30114831;8.814916143;0.999924694;5.609446358;0.999970714;13.65259382;0.972698531;0.294553102;3.343957185;0.999923676;4.017084783;0.999960217;8.502638039;0.969111411;0.440382118;3.797810023;0.999901109;6.045533947;0.999949226;11.78676064;0.960190293;11.74011828;0.999871672;5.052825896;0.999916512;12.82003827;0.967199692;0.823478017;0.792167304;9.870994149
344;1;traincgb;tansig;logsig;purelin;35;25;0.918237138;6.137721715;0.999601939;8.944724274;0.999923347;11.97971664;0.957642724;0.993134128;17.85402264;0.999730482;8.757917353;0.999908587;17.01116596;0.959429488;0.944427928;10.84841119;0.999569365;9.510786948;0.999910983;13.98862932;0.953019363;10.03410997;0.999471239;8.119268935;0.999899036;11.96305644;0.956981436;0.860512806;0.814300528;10.03881178
332;3;traincgb;tansig;logsig;purelin;15;25;0.82652635;7.020282907;0.999702815;5.643961766;0.999931514;16.5506813;0.935150603;1.444656195;5.740734115;0.999432018;5.033021739;0.999874841;24.07353466;0.935507321;0.756314761;4.554445185;0.999719387;4.891756095;0.999948165;20.03993327;0.931476097;9.809208911;0.999312112;5.044718054;0.999920199;15.71892129;0.9322846;0.802503884;0.793224176;10.19094942
290;5;traincgb;tansig;tansig;purelin;20;25;0.453765611;7.801675267;0.999844635;6.900184194;0.999966335;15.97272795;0.961587465;0.501590082;4.216411355;0.999846875;5.992610491;0.999948438;16.72275901;0.961726976;0.392079628;5.880813445;0.999827381;5.907517931;0.999970132;13.42163341;0.94755315;9.630412889;0.999774352;6.00365598;0.999944614;14.98600092;0.953643329;0.867787163;0.796863784;10.20668993
292;2;traincgb;tansig;tansig;purelin;25;20;0.431611179;5.495077251;0.999875383;4.362401259;0.999967541;18.05429537;0.937429004;0.423889409;4.397141841;0.999893381;3.962634154;0.99997584;19.09001957;0.958783689;0.461339688;4.301898043;0.999897524;4.068975958;0.999960842;17.94772934;0.924072184;10.00084432;0.999838668;3.679383088;0.999951569;16.98555486;0.935520697;0.856179637;0.836959008;10.22192742
338;1;traincgb;tansig;logsig;purelin;25;25;0.364359768;8.474780218;0.999913591;9.508164056;0.999968171;15.88138528;0.959144692;0.576875694;4.746980269;0.999868703;11.48819104;0.99993997;16.64278176;0.894093273;0.478221858;2.361378461;0.999886774;12.0725015;0.99995092;17.59176378;0.91496642;7.918050035;0.999886989;8.583246747;0.999962928;14.88870936;0.938218425;0.874845437;0.822957399;10.46333538
479;1;traincgb;logsig;tansig;purelin;35;25;0.853836569;9.889519158;0.999681061;8.715237408;0.999919197;17.04001547;0.94271432;0.704553413;21.04836483;0.999766473;6.72027964;0.9999519;17.508348;0.972568874;0.996106727;6.825593837;0.999675295;8.606772767;0.999868772;14.69917981;0.957590733;9.807934726;0.999552792;7.059074098;0.999883131;14.99247042;0.946436953;0.84533401;0.86850539;10.61982641
276;1;traincgb;tansig;tansig;tansig;20;30;0.533622185;5.381471494;0.999838396;9.453867141;0.999940371;13.30575919;0.971327485;0.463255253;15.98037417;0.999858941;11.27930027;0.999963101;16.57015014;0.977531961;0.342541363;15.2542964;0.999877865;9.77001078;0.999965132;11.01876692;0.982432385;11.64817858;0.99984;9.05227831;0.999919376;11.51787827;0.975818731;0.839629623;0.780143274;10.73944506
323;4;traincgb;tansig;logsig;tansig;25;25;0.328907219;11.97535298;0.999900478;6.015578006;0.999966096;12.92754406;0.983561028;0.233372947;3.258018684;0.999881595;6.263479837;0.99998981;10.09114224;0.980750588;0.214465789;13.00689867;0.99992021;7.173467923;0.999987618;13.06189065;0.987469611;15.30179459;0.99988424;5.93818979;0.999965519;11.19772507;0.982033694;0.83446742;0.791329142;10.81256981
276;2;traincgb;tansig;tansig;tansig;20;30;0.461685959;12.85614157;0.999845001;5.859312056;0.999970877;15.74263906;0.932839363;0.850852293;21.63106541;0.99983632;4.298031254;0.999939669;28.90372601;0.94703643;0.391439979;10.1460548;0.999854131;6.748699455;0.999972788;14.11373796;0.923680068;11.06138442;0.999872556;5.64915699;0.999952282;16.01522819;0.935887831;0.81092543;0.896053051;10.90858986
207;4;traincgb;tansig;softmax;purelin;30;30;0.390662531;4.063670243;0.999913777;8.330884984;0.999968084;26.09279042;0.940924048;0.406761509;3.070179589;0.999925032;8.556923164;0.999976059;24.34533001;0.941687802;0.384953135;1.077619998;0.999926936;8.755669655;0.999946336;20.04053453;0.927248206;5.056246531;0.999884523;7.616473737;0.999963652;20.47201214;0.937384221;0.844296895;1;11.04824413
344;3;traincgb;tansig;logsig;purelin;35;25;1.137440955;3.515194709;0.999610146;10.0538003;0.99989608;18.95904468;0.93795757;1.546820699;9.6563369;0.999509711;8.556806823;0.999856723;37.38749806;0.88790876;1.23319222;5.719969209;0.999528987;11.25827405;0.999824081;16.16342599;0.909420935;6.057485579;0.999306661;7.860194964;0.999847018;19.30146241;0.916186123;0.877263594;0.858905201;11.07304765
