Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
161;5;traingdx;tansig;softmax;purelin;30;25;6.825711855;18.43528278;0.997367589;23.07995829;0.999412866;88.07366165;0.658342141;7.246831866;8.375921003;0.996295106;19.35333079;0.999297412;41.38129073;0.581669099;6.493551856;29.427714;0.997897688;26.8973804;0.99945349;97.75742084;0.524866481;19.95484228;0.997448687;19.31815361;0.999194347;68.0364366;0.645467158;0.836669452;1;35.76981083
162;5;traingdx;tansig;softmax;purelin;30;30;5.241054838;39.19894559;0.997690813;14.34432354;0.999609431;58.42533242;0.73726762;4.219544966;137.8318026;0.997664844;18.81605571;0.999711722;59.49076468;0.7652917;6.51013529;38.7690333;0.99731365;14.93329519;0.999556656;75.69888382;0.779840001;44.61758154;0.997514502;14.90416055;0.999458734;52.65812696;0.726469288;0.823067541;1;37.39328969
164;5;traingdx;tansig;softmax;purelin;35;25;11.65987908;30.85416424;0.995639453;14.41747557;0.998837977;92.7110651;0.347379381;10.67634455;43.20236966;0.995642364;16.61833532;0.999116033;105.7236397;0.404325392;18.48105892;16.61364623;0.990690671;13.08738082;0.998511845;78.64909801;0.499213749;22.98090576;0.995124699;12.88147629;0.998929605;77.78943671;0.407627452;0.852352203;1;37.88393959
154;5;traingdx;tansig;softmax;purelin;20;20;16.19750788;17.93008243;0.991392974;34.96277737;0.998889359;60.01379092;0.723158685;10.85276736;11.56385811;0.994594711;34.33968285;0.99906658;40.6558663;0.780794546;17.10540651;25.592154;0.990840547;45.54550961;0.999251127;97.17684288;0.743954475;27.44104374;0.991898269;29.93293107;0.99850223;58.98819472;0.650930097;0.799273543;1;38.78738984
154;1;traingdx;tansig;softmax;purelin;20;20;5.587004955;40.18050263;0.997348526;12.98339624;0.999664242;83.08262693;0.570679234;4.933057885;22.66767922;0.997771371;15.52100779;0.999805896;102.5979795;0.348550593;5.728393302;17.57858044;0.997480142;13.36754181;0.999670619;59.41470479;0.552821673;30.49006407;0.997433042;12.29338063;0.999532454;74.5187566;0.477072174;0.822709648;1;39.10073377
102;1;traingdx;poslin;purelin;tansig;30;30;62.27915219;77.80398033;0.970812722;47.1629541;0.994460053;23.56331427;0.912639107;67.73251648;33.14031511;0.96347781;38.76277241;0.995402272;21.40832936;0.926068527;38.82627862;15.77315563;0.980438079;62.65887843;0.996230197;32.9845854;0.904994329;53.66714181;0.970482518;43.08786876;0.994445546;21.61034449;0.918599071;0.784347141;0.226748593;39.45511835
153;1;traingdx;tansig;softmax;purelin;15;30;27.77198114;23.97077146;0.986645427;34.25990254;0.99757419;47.59428478;0.836887376;23.59157793;17.55407731;0.989262401;36.3980621;0.997630648;51.17297486;0.809173808;37.54007523;22.79955557;0.98691109;35.676909;0.99682675;59.22116279;0.858883383;42.98116009;0.986334837;31.68207839;0.997479711;44.44788265;0.827827893;0.830647002;1;39.70370704
159;3;traingdx;tansig;softmax;purelin;25;30;23.83593487;54.42241504;0.986597588;41.78620295;0.998531035;47.83402887;0.832420666;14.67493721;33.10832336;0.993663442;45.43220465;0.998136702;47.48622136;0.795035394;36.10968553;28.03816458;0.979536911;39.28601567;0.998314962;44.00624334;0.857308135;43.32840323;0.986789645;36.75318069;0.998023522;39.88080352;0.825150547;0.844095162;1;39.98746248
158;3;traingdx;tansig;softmax;purelin;25;25;15.53001768;37.3732896;0.990643961;23.93680143;0.999289322;75.49850806;0.628230951;15.50060557;69.4398329;0.991899728;22.39146936;0.999389455;65.09820815;0.784520635;22.49742958;33.99694441;0.984848666;20.81662625;0.999154505;69.31512491;0.628226431;34.15389514;0.989519581;22.87651973;0.998663526;64.31499164;0.595738395;0.848359078;1;40.44846883
162;1;traingdx;tansig;softmax;purelin;30;30;21.36782639;40.61513406;0.987188664;39.11242504;0.998657493;56.91364017;0.847287865;21.66789543;61.23642242;0.987639483;47.89655623;0.999100003;80.62330247;0.898358756;22.6118504;35.78407474;0.98900447;38.31688645;0.998571511;62.82829953;0.871168468;39.32666638;0.988504149;36.28568177;0.998292382;52.60043453;0.861261319;0.828321752;1;42.73759423
152;5;traingdx;tansig;softmax;purelin;15;25;85.98039614;48.13155937;0.947053329;61.28052003;0.994874363;36.2663848;0.82545709;81.27656242;39.28933503;0.954155122;45.16857317;0.996015991;33.43993168;0.849013111;102.3532081;121.3444694;0.937320713;56.36364255;0.99368985;38.64040272;0.808861091;49.75306277;0.94858289;49.44355463;0.995390314;30.01867262;0.835041079;0.831083564;1;43.07176334
164;1;traingdx;tansig;softmax;purelin;35;25;71.1325722;49.66328795;0.95120325;45.67750315;0.996830643;49.10985568;0.649701723;67.92584841;25.97629466;0.958598712;41.43319954;0.997199828;71.13076652;0.466748435;51.95971014;41.28698319;0.969809392;48.82640427;0.998385409;71.92672823;0.602549844;37.90241475;0.955583655;40.63924813;0.996597593;52.01648947;0.60032394;0.862485263;1;43.51938412
409;3;traingdx;purelin;softmax;tansig;20;20;3727.180051;31.78171063;0.872398022;68.37134936;1.51306E-17;19.19562366;0.900292178;2854.079375;29.99772248;0.863851543;68.71504624;-2.07913E-16;18.01608144;0.894326963;3256.881532;30.19747727;0.88022208;70.43981545;1.31563E-17;23.25912298;0.903536717;36.48570592;0.813264329;72.54832698;-1.25697E-16;22.07375282;0.859287672;0.389429963;1;43.70259524
148;1;traingdx;tansig;softmax;tansig;35;20;841.8431351;30.87070952;0.875578544;53.68135424;0.880438733;43.79771883;0.869996898;579.4612095;23.94963463;0.850149835;53.50575619;0.890047647;53.05077514;0.846237583;890.2439589;39.02997327;0.881229928;48.12702407;0.900273578;55.95420832;0.875866116;34.63853837;0.839300707;55.92567274;0.86568071;40.6496897;0.837577086;0.902899349;1;43.73796694
152;3;traingdx;tansig;softmax;purelin;15;25;25.09906455;74.27053411;0.987292773;21.39584589;0.998144155;82.81174882;0.797873738;12.45053963;24.12247768;0.992686615;26.86618036;0.999071355;57.3654484;0.765373659;21.19290466;37.3246874;0.990351314;22.1281212;0.998132008;78.966247;0.731764731;49.02843035;0.988307501;17.42831125;0.997618961;66.58073449;0.750768047;0.851897328;1;44.34582536
164;4;traingdx;tansig;softmax;purelin;35;25;31.59127224;53.34475026;0.98141613;30.48716945;0.997925571;25.50389687;0.894109708;42.65164829;72.4573225;0.976189426;34.75116693;0.998093762;27.51358678;0.90425118;24.94572378;85.64548986;0.987190332;26.83519511;0.998560254;25.6441299;0.902929593;80.26316916;0.982245189;28.06884705;0.997225789;25.45861843;0.886840591;0.877432255;1;44.59687821
284;1;traingdx;logsig;softmax;tansig;35;25;3370.238191;32.96423507;0.866739709;68.31698602;1.98635E-17;28.29024772;0.888725389;3449.848092;30.05128472;0.870626845;65.64518037;3.35895E-17;25.27908857;0.870520849;4233.029548;39.24588967;0.898630721;73.76177326;-7.82984E-17;44.44735598;0.904421096;36.50225563;0.839830631;72.54832698;-1.25697E-16;26.22763127;0.868584834;0.926239387;1;45.09273796
