Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
419;1;trainlm;logsig;softmax;purelin;35;25;7.97294E-05;0.035297661;0.999999994;0.13778735;0.999999993;0.197811356;0.999982712;9.98882E-05;0.023532521;0.999999998;0.148096951;0.999999991;0.142316378;0.99997135;0.000436186;0.110690351;0.999999822;0.182294552;0.999999983;0.151505369;0.99995564;0.186596441;0.999999704;0.13630369;0.99999999;0.176083048;0.999973084;0.870081543;1;0.166327726
234;2;trainlm;tansig;softmax;purelin;20;30;8.96047E-05;0.031533625;0.999999998;0.126779581;0.999999993;0.178876441;0.999979319;5.56081E-05;0.071547047;0.999999996;0.103578211;0.999999996;0.201561899;0.999985622;5.43121E-05;0.016064212;0.999999997;0.134561311;0.999999993;0.098234945;0.999984007;0.460839631;0.99999996;0.121513456;0.999999991;0.160181184;0.999979389;0.833418833;1;0.247511424
408;5;trainlm;logsig;softmax;purelin;25;30;0.000150541;0.092094806;0.999999988;0.151964239;0.99999999;0.439661265;0.999965079;0.000235462;0.035866753;0.999999989;0.264340386;0.999999968;0.356435719;0.9999318;0.000532113;0.110010156;0.999999676;0.167848102;0.999999986;0.438707556;0.999967235;0.241003597;0.999999395;0.164555542;0.999999983;0.366966016;0.999958448;0.812547582;1;0.257508385
412;5;trainlm;logsig;softmax;purelin;30;20;8.00795E-05;0.019326533;0.999999996;0.140862947;0.999999994;0.170562726;0.999980742;2.87612E-05;0.023531835;0.999999996;0.112892342;0.999999997;0.120692349;0.999994376;0.000287669;0.048660791;0.999999978;0.234553247;0.999999979;0.222132861;0.999936062;0.493925244;0.999999944;0.143222181;0.999999989;0.196697832;0.999968243;0.883035522;1;0.277948419
419;3;trainlm;logsig;softmax;purelin;35;25;0.000153633;0.064976054;0.999999964;0.180595858;0.999999988;0.283441293;0.999977591;6.64053E-05;0.098587176;0.999999991;0.171632342;0.999999995;0.165398015;0.999988337;0.000343901;0.033961331;0.999999992;0.340340497;0.999999966;0.332397889;0.999890132;0.379292873;0.99999982;0.191130906;0.999999985;0.270025802;0.999966539;0.844307585;1;0.28014986
227;1;trainlm;tansig;softmax;purelin;15;25;0.004701876;0.313262455;0.999997346;0.168144053;0.999999678;0.661996043;0.999891824;0.000173007;0.049671096;0.999999995;0.170389009;0.999999991;0.211316135;0.999953789;7.17425E-05;0.033444877;0.999999997;0.111911587;0.999999997;0.150382205;0.999984066;0.481982009;0.999999949;0.151604077;0.999999989;0.21352813;0.999952193;0.794274601;1;0.282371406
239;2;trainlm;tansig;softmax;purelin;25;25;0.000157897;0.034524876;0.999999987;0.145662859;0.99999999;0.219423476;0.999960494;0.000127426;0.088756674;0.999999981;0.156706555;0.999999994;0.226598077;0.999970813;5.91737E-05;0.023719148;0.999999994;0.127726501;0.999999996;0.172012168;0.999983294;0.547666125;0.999999918;0.138861416;0.999999989;0.176227566;0.999959534;0.834872576;1;0.287585036
240;3;trainlm;tansig;softmax;purelin;25;30;0.00015601;0.044022776;0.999999983;0.188962046;0.999999987;0.330069766;0.999967532;8.34459E-05;0.050767147;0.999999983;0.109216152;0.999999993;0.257125029;0.999989619;0.000152971;0.041680031;0.999999991;0.159894324;0.999999988;0.210839865;0.99996327;0.457296999;0.999999863;0.156792867;0.999999986;0.287138127;0.999964613;0.83079969;1;0.300409331
244;2;trainlm;tansig;softmax;purelin;30;20;0.000199526;0.059250287;0.999999986;0.191793543;0.999999985;0.244572756;0.999951012;0.000142639;0.071503599;0.999999992;0.190345968;0.999999989;0.398087325;0.999970388;0.000317916;0.107399651;0.999999948;0.257638133;0.999999983;0.389170081;0.999931142;0.396760631;0.999999912;0.190620991;0.999999984;0.316484642;0.999939989;0.867648596;1;0.301288755
233;3;trainlm;tansig;softmax;purelin;20;25;0.000129122;0.093903706;0.999999991;0.142379512;0.999999989;0.270330434;0.999968857;0.000263015;0.114079708;0.999999992;0.182875147;0.999999984;0.281500151;0.999945238;0.000119721;0.040459174;0.999999996;0.143178605;0.999999992;0.205547122;0.9999647;0.497418801;0.999999939;0.142255376;0.999999975;0.273996952;0.999963989;0.862132748;1;0.304557043
