Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
89;2;trainoss;tansig;softmax;purelin;35;25;1.654782724;26.23782403;0.999147898;9.96840589;0.999930171;37.31233346;0.903439362;1.476418579;22.22896099;0.9993904;7.114439076;0.99989503;39.84791036;0.902629229;2.603708819;19.58549055;0.99869742;10.7083868;0.999882213;32.429313;0.889918653;19.65015931;0.998906076;8.760144933;0.999895328;30.93309426;0.874898977;0.872747912;1;19.78113283
78;5;trainoss;tansig;softmax;purelin;15;30;1.611977656;12.79933813;0.999359896;11.52417975;0.999871663;37.3552277;0.940069342;2.080523254;5.457342717;0.998974746;12.22625018;0.999749736;30.13235064;0.938911489;1.26572989;7.589631558;0.999498182;12.62898579;0.999874741;33.08813208;0.955534025;20.09249372;0.999202995;9.966101668;0.999858659;29.68759395;0.935529824;0.797905693;1;19.91539644
40;3;trainoss;poslin;purelin;tansig;30;20;5.034071405;7.89899967;0.997740605;26.25946027;0.999619581;23.72580412;0.846599031;6.193107857;10.07163035;0.997952525;28.15734998;0.99951717;24.7656335;0.873633776;5.350170457;12.20178056;0.998002706;22.02077358;0.999526126;23.56577126;0.887558666;10.69085308;0.997647506;23.28780661;0.999284038;25.77410001;0.833301274;0.82874419;0.242604225;19.91758656
149;5;trainoss;logsig;softmax;purelin;35;25;4.32608851;14.9509756;0.997661176;7.982941992;0.999728497;41.29349838;0.895859249;8.083110632;10.0555297;0.995571211;7.949421031;0.999688253;59.74111095;0.918416669;2.283767959;20.71770678;0.998937162;9.450818796;0.999810848;51.56184247;0.901483745;12.76025572;0.997031222;8.55244775;0.999450873;39.13287985;0.887371884;0.852633807;1;20.14852777
84;3;trainoss;tansig;softmax;purelin;25;30;2.815447857;21.22595879;0.998652501;13.05661937;0.99977781;29.93275257;0.917535359;3.165574408;4.652902889;0.998694907;17.77619633;0.999726185;35.73003482;0.867437732;2.409013481;14.67043515;0.99908759;14.2427479;0.99981919;36.94361414;0.912150233;19.68905582;0.998425963;13.49658835;0.999752027;27.44207689;0.900189961;0.860041475;1;20.20924035
87;5;trainoss;tansig;softmax;purelin;30;30;5.725153071;16.35116463;0.997201669;14.39798791;0.999561749;36.85166972;0.903576797;5.3400055;21.60586562;0.99737906;14.35383082;0.999674737;56.54050326;0.889457709;4.772598467;15.01692035;0.997421468;14.97519796;0.999644278;48.13044849;0.865851973;12.93511699;0.997407065;13.19648615;0.99949891;35.25148287;0.881324263;0.855227105;1;20.46102867
84;5;trainoss;tansig;softmax;purelin;25;30;0.996226057;10.86676652;0.999728098;13.24481278;0.999906607;45.00586896;0.879857848;1.028065164;20.47523558;0.999713099;15.57501347;0.999891717;30.95552845;0.928326982;1.058576514;14.73591191;0.99972155;12.98728269;0.999941888;61.16133627;0.888936629;13.18145113;0.999651782;12.55704364;0.999897538;36.50592369;0.882237489;0.835310108;1;20.74813948
76;4;trainoss;tansig;softmax;purelin;15;20;1.94874282;31.68962537;0.999214524;9.39221159;0.999838314;40.16916765;0.904285182;1.715008619;13.82192764;0.999316951;8.860319745;0.999816285;19.23030917;0.92726081;2.262823266;21.65398223;0.998933318;8.687468693;0.999846096;30.03791552;0.922526263;25.59518088;0.999292425;9.150156661;0.999833984;31.34020306;0.890927817;0.82858842;1;22.02851353
90;1;trainoss;tansig;softmax;purelin;35;30;1.710640173;12.31493647;0.999539647;8.89040748;0.999832159;48.0573917;0.868240145;1.45111063;14.60984611;0.999651819;10.15145394;0.999782327;35.69871925;0.839015949;1.129599886;18.80524075;0.999558674;8.91592088;0.999919255;59.23690054;0.830916357;18.84861114;0.999498647;8.356341653;0.99985071;41.00120125;0.851852787;0.842961844;1;22.73538468
136;5;trainoss;logsig;softmax;purelin;15;20;8.637951643;39.7614603;0.995288067;14.38269098;0.999522924;35.84818719;0.887336529;7.558362265;17.41702474;0.995532495;13.13716625;0.999334676;21.36025684;0.866491317;11.57753943;32.67898911;0.992014782;13.45746449;0.9995469;23.6983072;0.85936445;28.80817165;0.994526647;13.84085381;0.999055869;27.23266569;0.865049492;0.801619313;1;23.29389705
