Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
300;5;trainrp;logsig;softmax;purelin;35;30;0.034911439;1.383155252;0.999988136;2.371644054;0.999997149;3.533538238;0.997802935;0.032990806;0.233229181;0.999988859;2.61093813;0.999995907;2.583157225;0.996493174;0.040802359;3.500827927;0.999985516;2.568155858;0.999995897;3.751509816;0.995670165;2.369464406;0.999982665;2.344824513;0.99999232;3.168653117;0.996580261;0.825153518;1;2.627647345
300;1;trainrp;logsig;softmax;purelin;35;30;0.08180966;0.896107684;0.999975301;2.579592349;0.999988917;3.036411504;0.998933248;0.039136596;1.605220492;0.999987215;2.754611648;0.99999581;3.581081848;0.999188358;0.089764557;1.575127913;0.999962053;2.665470915;0.99999106;3.792564499;0.99912911;2.237294819;0.999959777;2.375106867;0.999986481;3.425204043;0.998554089;0.864367542;1;2.67920191
297;3;trainrp;logsig;softmax;purelin;30;30;0.092507582;1.927868606;0.999971244;2.465743214;0.999987951;2.968663689;0.998870401;0.083254102;2.832811904;0.999972855;2.261832609;0.999989524;2.855782213;0.998949869;0.13138026;4.108689989;0.999964582;2.868287701;0.99998188;4.210243459;0.998640182;3.284336547;0.99995007;2.186214462;0.999980352;3.236944751;0.998641286;0.840643748;1;2.902498586
300;4;trainrp;logsig;softmax;purelin;35;30;0.094955791;2.276635125;0.999960062;4.546762144;0.999990098;2.993713399;0.997924283;0.090964042;4.433353625;0.99996346;3.678322366;0.999991937;4.40031868;0.997814866;0.071275349;1.320947397;0.999974081;3.933986723;0.999993863;2.745251592;0.998547294;2.09508436;0.999963485;3.926747748;0.999989416;3.417953869;0.997585629;0.829510831;1;3.146595326
298;1;trainrp;logsig;softmax;purelin;35;20;0.154958738;1.850599845;0.999959403;3.698094111;0.999978315;5.704971151;0.994679688;0.316163401;3.384218751;0.999936317;3.302283118;0.999953781;5.319185384;0.996427105;0.132529736;2.760147829;0.999963748;3.929681922;0.999983782;5.90616758;0.995376301;2.331398311;0.99995431;3.132158939;0.99997111;5.231120023;0.994352977;0.867209895;1;3.564892424
296;1;trainrp;logsig;softmax;purelin;30;25;0.177779208;2.227327384;0.999912245;3.979887999;0.999984346;5.178543921;0.996395094;0.394648715;5.923782421;0.999960036;3.87435656;0.999938986;7.53858315;0.997150077;1.033117338;2.032401259;0.999864229;3.947768468;0.999815247;4.095970955;0.994825384;2.413828776;0.999840687;3.594192466;0.999879065;5.154081224;0.995576586;0.832152209;1;3.720700822
159;5;trainrp;tansig;softmax;purelin;25;30;0.089949506;1.728302948;0.999957485;3.306009653;0.999992845;3.760189227;0.995894752;0.145969515;2.848007759;0.999953046;2.734500809;0.999985478;5.141929767;0.995407739;0.093604869;2.115783698;0.999963753;3.485636509;0.999994112;3.720588129;0.996237812;5.588192532;0.999932412;3.0209505;0.999986006;3.827524336;0.994470443;0.841497849;1;4.145555789
289;4;trainrp;logsig;softmax;purelin;20;20;0.19035775;4.558541317;0.999922694;4.426557567;0.999980415;4.282967402;0.996760144;0.301807007;1.878030599;0.999890364;4.045711535;0.999959301;3.795765019;0.995944558;0.203640798;3.601119043;0.999926421;4.571019999;0.999980457;4.564045443;0.997409466;4.133087726;0.99985471;4.331548274;0.999956736;4.396719411;0.995410479;0.816478269;1;4.28711847
159;1;trainrp;tansig;softmax;purelin;25;30;0.320739526;1.405852594;0.99982993;4.422313095;0.999981476;4.644017103;0.991831927;0.18457029;1.012503052;0.999921095;3.748771882;0.999983739;4.705737426;0.990180235;0.212898351;3.255471655;0.999876154;4.458603482;0.999990402;3.589122742;0.993168567;4.171497747;0.999851562;4.019730743;0.999976037;4.686823526;0.989944784;0.82729777;1;4.292684005
300;3;trainrp;logsig;softmax;purelin;35;30;0.196426823;2.3628669;0.999954216;2.763383892;0.999972354;7.280621839;0.992490825;0.198801886;1.052375765;0.999960219;3.507623984;0.999971273;6.032603988;0.989881991;0.131830551;1.648236176;0.999955026;2.75368908;0.999988546;6.526246943;0.993942786;4.294858295;0.999944511;2.841142911;0.999962591;5.745845402;0.992333087;0.798939305;1;4.293948869
297;1;trainrp;logsig;softmax;purelin;30;30;0.12788557;2.288647476;0.99995351;4.178969837;0.999985532;5.085271111;0.996303289;0.133201547;1.915151792;0.999966751;4.284156806;0.999979228;3.592453132;0.996942838;0.148659756;4.444810308;0.999951728;3.567636089;0.999985638;5.648083886;0.997278417;4.858243362;0.999943663;4.026760947;0.999979396;4.047088739;0.996570075;0.827733545;1;4.310697683
291;4;trainrp;logsig;softmax;purelin;20;30;0.202727628;3.035522469;0.999920775;6.398444506;0.999979132;4.067742696;0.995991101;0.204131436;4.253334233;0.999902872;8.328135097;0.999971507;5.157839157;0.994434102;0.184590772;1.447204393;0.999941556;6.374764883;0.999981525;5.944449374;0.996007287;2.508660394;0.999899512;6.208110991;0.999977955;4.278051044;0.99546227;0.800062354;1;4.331607476
296;3;trainrp;logsig;softmax;purelin;30;25;0.101072698;2.300454727;0.999978342;3.811198252;0.999985466;4.819777391;0.995492721;0.118898167;2.734933514;0.999974729;4.216011651;0.999980792;3.434338448;0.9944519;0.104096727;2.677267674;0.999986418;3.532697409;0.999984877;4.551992024;0.996582035;5.088160345;0.999968326;3.428137791;0.9999768;4.547033125;0.99503474;0.826365321;1;4.354443754
156;2;trainrp;tansig;softmax;purelin;20;30;0.294795566;2.431968951;0.999860013;4.386252285;0.999975104;3.806945074;0.997028501;0.182443234;1.996745777;0.999919823;4.80630655;0.999983099;2.906097077;0.996809611;0.140923474;3.520636258;0.999970987;4.540012289;0.999976291;3.545886154;0.99719287;4.996440973;0.999768414;4.278076349;0.999959962;3.872788182;0.996371442;0.843716624;1;4.382435168
276;3;trainrp;logsig;softmax;tansig;20;30;0.229388567;2.885774479;0.9999671;4.982570235;0.999959813;4.030427447;0.997376524;0.292813751;2.058403834;0.999973081;4.395581948;0.999943442;4.826501766;0.997275691;0.205842226;2.422088364;0.999964279;4.651151236;0.999969761;3.696206854;0.997510941;4.185927119;0.999963861;4.738299944;0.99995543;4.23860224;0.996920233;0.81051364;1;4.387609767
299;3;trainrp;logsig;softmax;purelin;35;25;0.174295103;3.507618749;0.999943929;5.370899622;0.999979471;4.970870875;0.996662866;0.137276756;1.5976942;0.999949118;5.485329348;0.999988146;4.730947363;0.996058188;0.121618658;1.310266506;0.99995943;4.7142616;0.999983034;3.734577279;0.995345607;3.932504957;0.999932308;4.791610659;0.999971279;4.489200382;0.99567632;0.859448595;1;4.404438666
417;3;trainrp;purelin;softmax;tansig;30;30;0.217170778;3.60796276;0.999924926;5.417042409;0.999974545;4.426108905;0.993605638;0.393151748;3.371601882;0.999929879;4.741169262;0.999954411;4.852253291;0.994392952;0.22549854;2.808099525;0.999938919;4.231660844;0.999972247;5.285944076;0.993045276;3.059676507;0.999920451;4.92573262;0.999970464;5.643940735;0.992205791;0.328133763;1;4.543116621
285;4;trainrp;logsig;softmax;tansig;35;30;0.2086778;5.301944721;0.999962116;3.731270604;0.999965959;4.663076072;0.996306275;0.239621784;5.415907844;0.999951885;3.500211762;0.999967857;3.450403831;0.993994079;0.173426273;3.105244626;0.999969259;3.268857773;0.999973992;5.515811475;0.996266633;4.665623814;0.999954328;3.67498426;0.99995406;5.645435907;0.994412783;0.824724906;1;4.66201466
