Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
294;1;trainscg;tansig;tansig;purelin;25;30;0.319078171;4.536637666;0.999876433;4.134052565;0.999974913;11.93014398;0.981577323;0.40144143;2.687908284;0.999838971;4.464160624;0.999974197;14.16035099;0.978489651;0.311646669;1.449179054;0.999805611;3.459302454;0.999978304;7.67339585;0.969589468;4.468786281;0.999850795;3.826344752;0.999962247;10.22690841;0.978035272;0.850702682;0.83254513;6.174013149
343;1;trainscg;tansig;logsig;purelin;35;20;0.202726407;2.593179739;0.999955262;3.52503496;0.999987315;15.88976459;0.96451569;0.203123503;4.077968506;0.999948281;4.181982248;0.999982112;15.10522773;0.956047676;0.34123426;6.298111732;0.999940492;4.197922304;0.999971032;11.94603906;0.952366577;5.704403625;0.999929239;3.521688192;0.999978581;11.52341322;0.966488904;0.870516524;0.710522715;6.916501679
340;2;trainscg;tansig;logsig;purelin;30;20;0.333720571;3.237696291;0.999928271;5.706038129;0.999970039;18.41275539;0.954550771;0.294996849;4.025475269;0.999911531;4.867798429;0.999975129;23.11053681;0.958425388;0.324932501;1.397183341;0.99989268;5.462544495;0.999970155;9.129185836;0.977991415;2.843601776;0.999896691;4.571185445;0.999964683;14.31775626;0.958171229;0.836763963;0.797953855;7.244181159
289;1;trainscg;tansig;tansig;purelin;20;20;0.462813334;4.298930947;0.999867071;6.987913181;0.999955045;14.87441527;0.960043167;0.348308272;1.126984956;0.999839207;7.868072582;0.999961475;8.317459377;0.944522627;0.35370477;4.634901805;0.99991617;8.412487435;0.999973261;18.49355028;0.97579751;3.647534785;0.999833444;6.894426298;0.999916272;13.37381417;0.959675813;0.837126691;0.86919959;7.971925085
294;5;trainscg;tansig;tansig;purelin;25;30;0.575686472;5.858259168;0.999780836;2.656090506;0.999964604;17.32212217;0.937123462;0.49115971;7.134380514;0.999846632;2.66278059;0.99996922;21.2509545;0.954043539;0.37390576;7.144670054;0.999825789;2.468125465;0.999977856;12.58092121;0.957846921;5.833796741;0.999789226;2.726948155;0.999957635;15.36519411;0.943239981;0.819570728;0.840320979;7.975313002
298;3;trainscg;tansig;tansig;purelin;35;20;0.274223532;2.936597797;0.999927178;5.669768672;0.999977857;16.20381437;0.958909347;0.214939354;4.278766633;0.99994883;6.326142505;0.999977893;11.0046831;0.966429988;0.26887071;4.715934624;0.999942669;6.002182421;0.999986116;23.13861702;0.969656158;4.199725774;0.99987243;5.263958838;0.999964629;14.71286604;0.957746361;0.859589279;0.909717665;8.058850217
327;3;trainscg;tansig;logsig;tansig;30;30;0.219010042;4.256546483;0.999936244;9.412635427;0.999978226;8.111907799;0.980283987;0.191242708;7.682395535;0.999962573;7.760357711;0.999977922;8.411730476;0.985442471;0.508224167;3.819866646;0.999950381;6.590708749;0.999941793;9.451629233;0.97368346;9.042036223;0.999931679;8.066441277;0.999963468;7.754275233;0.979471227;0.819812139;0.774798442;8.287584244
342;4;trainscg;tansig;logsig;purelin;30;30;0.390368327;3.664946292;0.999878412;4.294652112;0.999978313;15.91293746;0.941708107;0.332217099;2.606333929;0.999837458;4.166197729;0.999982264;11.08182501;0.966171759;0.331822234;1.504591469;0.999910309;4.873924112;0.999980249;15.57078025;0.951282281;6.3487386;0.99983482;4.00578078;0.99995948;15.3668753;0.935678397;0.863744657;0.82488778;8.573798226
325;2;trainscg;tansig;logsig;tansig;30;20;0.315673446;4.918784251;0.999956592;7.943509421;0.999960425;12.99181292;0.970884742;0.154305558;2.296340743;0.999969652;7.011636558;0.999986035;10.81866428;0.976399821;0.204721662;3.59054622;0.999956932;8.204195307;0.999978206;9.425743277;0.964340717;7.105190755;0.999954203;7.414515242;0.999963415;11.61590048;0.970983698;0.829400478;0.762173968;8.711868827
338;5;trainscg;tansig;logsig;purelin;25;25;0.503837237;2.259247239;0.999900335;9.291736831;0.999936871;13.85089915;0.946940392;0.485870849;9.235345701;0.999923879;7.90954409;0.99995137;16.77962017;0.960769151;0.338972365;2.6200619;0.999927874;6.740193819;0.999960846;13.25741228;0.968036489;5.354242557;0.999886179;7.746405261;0.999914785;13.05911678;0.949716856;0.855300238;0.833737476;8.719921533
345;5;trainscg;tansig;logsig;purelin;35;30;0.287708398;5.894243849;0.999908301;5.392729473;0.999976583;20.12177857;0.972359524;0.281581513;1.739577916;0.999939835;5.165636526;0.999976808;19.51707201;0.961956654;0.397039997;1.405582993;0.999875927;5.852046663;0.999966238;21.39953875;0.951006993;5.472010321;0.999880178;4.459352674;0.999956299;16.63112073;0.96727236;0.8658261;0.839402035;8.854161243
337;3;trainscg;tansig;logsig;purelin;25;20;0.288903624;3.400809769;0.999925441;6.461134102;0.999972771;14.9247432;0.972079937;0.254868471;3.550664588;0.999899166;5.048144464;0.999981179;9.211774377;0.974669952;0.271778339;1.401514236;0.999927022;6.377489511;0.999973612;10.0377115;0.965044166;8.596324651;0.999881298;5.480990603;0.999966955;12.7219336;0.964820792;0.872113288;0.780585354;8.933082951
345;1;trainscg;tansig;logsig;purelin;35;30;0.263269822;5.144676221;0.999934549;6.085592339;0.999974736;17.90020618;0.969319441;0.307798029;2.494292093;0.999923824;6.177305503;0.999976461;19.47067017;0.961825851;0.273003184;2.719729814;0.9999375;5.978906892;0.999975199;16.83689844;0.962771753;5.947793895;0.999912945;5.976110666;0.999964437;15.25038644;0.968040569;0.869644573;0.822269743;9.058097001
